Ord,Project Name,Project,-,Blocker,Critical,--,---,Major,----,Issues,Coverage
1,minhaoi-estrutura:release/master,minhaoi-estrutura:release/master,2022-01-11 19:59:36.575249,3,0,,,0,,3,': '7.5'
2,minhaoi-atendimento-backend:release/master,minhaoi-atendimento-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '65.8'
3,cadastro_backend:release/master,cadastro_backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '86.6'
4,minhaoi-painel-massas-frontend:release/master,minhaoi-painel-massas-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,2,,4,': '0.0'
5,minhaoi-contas-modulos-frontend:release/master,minhaoi-contas-modulos-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,23,': '0.0'
6,minhaoi-ocs-frontend:release/master,minhaoi-ocs-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,2,': '0.0'
7,minhaoi-suportetecnico-backend:release/master,minhaoi-suportetecnico-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,3,: '11.6'
8,minhaoi-conta-frontend:release/master,minhaoi-conta-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,10,,43,': '0.0'
9,minhaoi-consumo-backend:release/master,minhaoi-consumo-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '45.5'
10,monitoramento-interno,monitoramento-interno,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '69.2'
11,minhaoi-home-backend:release/master,minhaoi-home-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '81.0'
12,minhaoi-ocs-backend:release/master,minhaoi-ocs-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '82.5'
13,minhaoi-parceiros-backend:release/master,minhaoi-parceiros-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '69.6'
14,minhaoi-servicos-backend:release/master,minhaoi-servicos-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,5,: '11.8'
15,minhaoi-tvprepago-backend:release/master,minhaoi-tvprepago-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,6,,6,': '0.0'
16,minhaoi-contas-modulos-backend:release/master,minhaoi-contas-modulos-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,': '1.5'
17,minhaoi-Integracao-frontend:release/master,minhaoi-Integracao-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,1,,12,': '0.0'
18,minhaoi-dados-cadastrais-frontend:release/master,minhaoi-dados-cadastrais-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,5,,17,': '0.0'
19,minhaoi-religarservico-backend:release/master,minhaoi-religarservico-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,1,: '15.1'
20,minhaoi-busca102-backend:release/master,minhaoi-busca102-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,4,,9,': '0.0'
21,minhaoi-busca102-frontend:release/master,minhaoi-busca102-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,1,,10,': '0.0'
22,minhaoi-home-frontend:release/master,minhaoi-home-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,5,,110,': '0.0'
23,minhaoi-servicos-frontend:release/master,minhaoi-servicos-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,3,': '0.0'
24,minhaoi-codigodebarras-backend:release/master,minhaoi-codigodebarras-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,2,,2,: '41.6'
25,cadastro_front:release/master,cadastro_front:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,117,': '0.1'
26,monitoramento-node,monitoramento-node,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '98.7'
27,minhaoi-consumo-frontend:release/master,minhaoi-consumo-frontend:release/master,2022-01-11 19:59:36.575249,0,1,,,33,,140,': '0.0'
28,minhaoi-codigodebarras-frontend:release/master,minhaoi-codigodebarras-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,1,': '0.0'
29,minhaoi-processar-login:release/master,minhaoi-processar-login:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,1,: '68.6'
30,minhaoi-atendimento-frontend:release/master,minhaoi-atendimento-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,1,,4,': '0.0'
31,precadastro_backend:release/master,precadastro_backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '95.4'
32,minhaoi-religarservico-frontend:release/master,minhaoi-religarservico-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,1,,3,': '0.0'
33,ebilling_30:release/master,ebilling_30:release/master,2022-01-11 19:59:36.575249,0,0,,,1,,2,: '96.9'
34,minhaoi-area-nao-logada-frontend:release/master,minhaoi-area-nao-logada-frontend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,': '0.0'
35,minhaoi-area-nao-logada-backend:release/master,minhaoi-area-nao-logada-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,2,,5,: '79.4'
36,automacao-backend:release/master,automacao-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '94.1'
37,auditoria-backend:release/master,auditoria-backend:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '92.9'
38,conta-digital-service:release/master,conta-digital-service:release/master,2022-01-11 19:59:36.575249,0,0,,,0,,0,: '91.0'
39,minhaoi-vendas-frontend:release/master,minhaoi-vendas-frontend:release/master,2022-01-11 19:59:36.575249,2,0,,,101,,411,': '0.0'
40,vendas-backend:release/master,vendas-backend:release/master,2022-01-11 19:59:36.575249,1,2,,,3,,11,: '13.2'
41,pre_home_front:release/master,pre_home_front:release/master,2022-01-11 19:59:36.575249,0,0,,,32,,138,: '47.8'
,,Resume,,6,3,,,210,,1086,
